LAT	LON	CODE	Synch_CHANGE	ColSD
41.17	-122.03	ca524	0.022109695	#C9ECF4
-38.33	-71.35	chil006	0.022133761	#C9ECF4
37.62	-109.73	ut024	0.022163472	#C9ECF4
38.48	-105.93	co055	0.022171979	#C9ECF4
36.45	-118.6	ca529	0.02224608	#C9ECF4
44.32	-72.9	vt001	0.022285238	#C9ECF4
37.83	-119.42	ca602	0.022470381	#C9ECF4
33.73	-117.55	ca512	0.02247043	#C9ECF4
51.28	6.18	neth020	0.022525396	#C9ECF4
40.23	-77.65	pa007	0.022534539	#C9ECF4
37.52	-118.2	ca667	0.022559084	#C9ECF4
40.5	-74.57	nj002	0.022569036	#C9ECF4
51.35	17.47	pola021	0.022590438	#C9ECF4
56.82	-107.58	cana201	0.022855512	#C9ECF4
40.37	-105.25	co550	0.022907267	#C9ECF4
49.57	-116.08	cana408	0.022923042	#C9ECF4
-41.1	-71.8	arge087	0.022931623	#C9ECF4
43.97	-121.07	or012	0.022950063	#C9ECF4
47.8	8.08	germ041w	0.023002185	#C9ECF4
38.78	-116.95	nv511	0.023097407	#C9ECF4
40.87	-4.1	spai012	0.02317065	#C9ECF4
46.54	8.83	swit281	0.023171288	#C9ECF4
47.05	6.9	swit343	0.023199208	#C9ECF4
49.42	-123.08	cana111	0.023226771	#C9ECF4
36.73	-112.23	az127	0.023241085	#C9ECF4
38.3	-79.35	va008	0.023273733	#C9ECF4
68.48	22.15	swed018	0.023287205	#C9ECF4
44.63	6.83	fran036	0.023343296	#C9ECF4
35.5	-83.5	nc016	0.023411415	#C9ECF4
26.4	-106.08	mexi023	0.023416095	#C9ECF4
52.68	-118.33	cana433	0.02341829	#C9ECF4
63.95	10.88	norw002	0.023423054	#C9ECF4
39.9	16.2	ital011	0.023441207	#C9ECF4
62.5	13.98	swed014	0.023444826	#C9ECF4
27.35	86.35	nepa041	0.023525763	#C9ECF4
40.53	-105.13	co538	0.02352741	#C9ECF4
35.03	71.53	paki037	0.023532819	#C9ECF4
39.27	28.85	turk038	0.023716681	#C9ECF4
46.12	7.18	swit136	0.023740949	#C9ECF4
47	-79.92	cana037	0.023744505	#C9ECF4
-54.78	-68.18	arge062	0.023794858	#C9ECF4
66.28	123.92	russ205	0.023799865	#C9ECF4
41.97	-73.22	ct002	0.023800442	#C9ECF4
43.22	-110.78	wy013	0.023803094	#C9ECF4
43.3	10.4833	ital032	0.023841582	#C9ECF4
42.1	-120.57	or002	0.02389754	#C9ECF4
37.78	-119.73	ca589	0.023911266	#C9ECF4
27.45	85.15	nepa033	0.023946835	#C9ECF4
38.67	-107.58	co554	0.023967806	#C9ECF4
43	-95.42	ia018	0.024052985	#C9ECF4
57.85	-103.83	cana197	0.024069439	#C9ECF4
36.57	-118.75	ca586	0.024112668	#C9ECF4
47.39	8.4	swit233	0.024114549	#C9ECF4
40.5	-74.57	nj001	0.024139772	#C9ECF4
43.87	7.33	fran028	0.024166055	#C9ECF4
60.27	29.58	russ115w	0.024240372	#C9ECF4
44.35	142.18	japa013	0.024328404	#C9ECF4
-38.65	175.63	newz056	0.024338363	#C9ECF4
60.45	-148.33	ak094	0.024343305	#C9ECF4
26.4	-106.08	mexi022	0.024344074	#C9ECF4
-50.42	-72.75	arge028	0.024354287	#C9ECF4
37.55	-119.67	ca594	0.024390942	#C9ECF4
42.63	19.93	yugo005	0.024402359	#C9ECF4
40.17	-105.28	co542	0.024405825	#C9ECF4
42.03	-3.03	spai049	0.024492246	#C9ECF4
49.87	-118.85	cana151	0.024606884	#C9ECF4
48.45	2.68	fran003	0.024618725	#C9ECF4
46.95	7.66	swit297	0.024701609	#C9ECF4
36.42	-112	az505	0.024735314	#C9ECF4
44.27	6.57	fran015	0.024742149	#C9ECF4
55.33	-3.5	brit7	0.024762641	#C9ECF4
37.23	-103.25	co568	0.024790684	#C9ECF4
37.18	-86.1	ky002	0.024793441	#C9ECF4
35.15	-79.37	nc017	0.024833003	#C9ECF4
